Designator,Footprint,Quantity,Value,LCSC Part #
"+6V, GND, NOISE, RM",TestPoint_Keystone_5010-5014_Multipurpose,4,TestPoint,
C1,CP_Radial_D8.0mm_P3.50mm,1,220uf,
C10,C_Disc_D7.0mm_W2.5mm_P5.00mm,1,22nF,
"C11, C12",C_Disc_D7.0mm_W2.5mm_P5.00mm,2,100n,
C13,CP_Radial_D4.0mm_P1.50mm,1,2u2,
"C14, C3, C4, C5, C6, C7, C8",C_Disc_D7.0mm_W2.5mm_P5.00mm,7,10n,
"C15, C18",CP_Radial_D4.0mm_P1.50mm,2,1uF,
"C16, C17",C_Disc_D7.0mm_W2.5mm_P5.00mm,2,1n,
"C2, C9",CP_Radial_D4.0mm_P1.50mm,2,4u7,
"C21, C22, C23, C24",0805,4,100nF,
"D1, D3",D_MiniMELF,2,1N4148,
D2,LED_D3.0mm,1,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO7380_Pad,4,MountingHole,
"J1, J10, J11, J9",Bus Connector,4,SMT Pads,
J2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Trigger,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Mono Out,
J4,PinHeader_1x03_P2.54mm_Horizontal,1,Power In,
J5,PinHeader_1x03_P2.54mm_Horizontal,1,Power Out,
J6,PinHeader_1x03_P2.54mm_Horizontal,1,Audio In,
J7,PinHeader_1x03_P2.54mm_Horizontal,1,Audio Out,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Remote Trig,
Q2,TO-92_Inline,1,2SC828,
"R1, R14, R15, R2, R21",1206,5,47k,
"R10, R11, R13, R3, R31, R34, R35, R50",1206,8,100k,
"R12, R23, R39, R44",1206,4,4k7,
R16,1206,1,150k,
"R17, R27",1206,2,2M2,
"R18, R19, R20, R22, R25, R29, R9",1206,7,10k,
R24,1206,1,680R,
"R26, R32, R33, R37, R41",1206,5,22k,
"R28, R30, R36, R40, R42, R43, R47",1206,7,1k,
"R38, R4",1206,2,220k,
"R45, R46, R48, R49",1206,4,68k,
R5,1206,1,330k,
R6,1206,1,390k,
R7,1206,1,470k,
R8,1206,1,560k,
RV1,Potentiometer_Alps_RK09K_Single_Vertical,1,Tune 10k,
RV2,Potentiometer_Piher_PT-6-V_Vertical,1,Sensitivity 47k,
RV3,Potentiometer_Alps_RK09K_Single_Vertical,1,Mix 100k,
RV4,Potentiometer_Alps_RK09K_Single_Vertical,1,Decay 1M,
RV5,Potentiometer_Alps_RK09K_Single_Vertical,1,Resonance 470k,
RV6,Potentiometer_Alps_RK09K_Single_Vertical,1,Sweep 10k,
RV7,Potentiometer_Alps_RK09K_Single_Vertical,1,Frequency 10k,
RV8,Potentiometer_Alps_RK09K_Single_Vertical,1,Volume 47k,
RV9,Potentiometer_Alps_RK09K_Single_Vertical,1,Pan 100k,
SW1,SW_PUSH_6mm_H5mm,1,Manual,
SW2,1P3WSW,1,Filter,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,LM324,
U2,SO-14_3.9x8.65mm_P1.27mm,1,40106,
U3,SO-14_3.9x8.65mm_P1.27mm,1,4070,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,LM741,
"U5, U6",SOIC-16_3.9x9.9mm_P1.27mm,2,LM13700,
